alert_capacity,selected_sessions,precision_at_capacity,recall_at_capacity,lift_at_capacity,false_alerts_per_100_sessions
0.05,1068,0.5084269662921348,0.2993384785005513,5.985087893165517,2.4585557740938464
0.1,2136,0.40823970037453183,0.4807056229327453,4.805705932633822,5.919265711342137
0.15000000000000002,3204,0.3433208489388265,0.6063947078280044,4.04149581490612,9.852954949892293
0.2,4271,0.29360805431983145,0.6912899669239251,3.456287977919339,14.128500515125971
0.25,5339,0.25753886495598427,0.7579933847850056,3.031689593313169,18.563266835253348
0.3,6407,0.22725144373341657,0.802646085997795,2.6751528828464046,23.18535169054978
0.35000000000000003,7474,0.20377308001070377,0.8395810363836824,2.3987708657930367,27.868315069776155
0.4,8542,0.18520252868180753,0.8721058434399118,2.180162512387717,32.59342511941556
0.45,9610,0.16930280957336108,0.8969128996692393,1.9929945951651338,37.38409665636414
0.5,10677,0.15584902126065375,0.9173098125689085,1.8346196251378173,42.207548936967314
