method,decision_brier_score,decision_log_loss,decision_average_precision
none,0.058453511686481156,0.20298975927266696,0.46296469545743923
isotonic,0.05877296154934898,0.21793587770477246,0.4443908794299288
sigmoid,0.05973006213289532,0.20998740634014917,0.46296469545743923
