attribute,demographic_parity_difference,disparate_impact_ratio,equal_opportunity_difference,false_positive_rate_difference,equalized_odds_difference,predictive_parity_difference,brier_score_difference
Recorded sex,0.11139569339113795,0.5854066800998743,0.08487346202021351,0.0906184092519686,0.0906184092519686,0.07225504779657962,0.04817234211265557
Age group,0.08406985393505279,0.6939183696979433,0.3670202369044649,0.06812492764100078,0.3670202369044649,0.14065248290236657,0.04013527409411766
Diabetes status,0.03956728685496036,0.8324250053829766,0.12071212670928766,0.05985038536457438,0.12071212670928766,0.108931238501812,0.004598107474028029
