model,cv_average_precision_mean,cv_average_precision_sd,search_fit_seconds,validation_average_precision,validation_roc_auc,validation_brier_score,validation_log_loss,validation_threshold,validation_accuracy,validation_sensitivity,validation_specificity,validation_precision,validation_f1,validation_tn,validation_fp,validation_fn,validation_tp,validation_alert_capacity,validation_selected_sessions,validation_precision_at_capacity,validation_recall_at_capacity,validation_lift_at_capacity,validation_false_alerts_per_100_sessions,best_parameters
Histogram gradient boosting,0.44588480161103233,0.055849727949234464,15.41302448700003,0.4552500901396734,0.8818564888640785,0.13390603339204538,0.409973462677693,0.5,0.8013207812280455,0.8102592388306674,0.8004913501893746,0.27370970747158563,0.4091922005571031,15640,3898,344,1469,0.2,4271,0.31631936314680403,0.7451737451737451,3.7251708342787717,13.676174418060045,"{""model__class_weight"": ""balanced"", ""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 100}"
Random forest,0.4404472697526476,0.05436012221250245,186.70247224800005,0.47045839055048166,0.8824074397681874,0.058346526715694354,0.20254097397581014,0.5,0.9215025057374362,0.1577495863210149,0.9923738356024158,0.6574712643678161,0.25444839857651247,19389,149,1527,286,0.2,4271,0.3156169515335987,0.7435190292333149,3.716898804298878,13.690225282188187,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}"
Logistic regression,0.4185798332222479,0.06602359283204079,7.239444412000012,0.4562438777023635,0.8754024078666167,0.059347881015147305,0.20666373227099713,0.5,0.9217835230199991,0.26806398234969664,0.9824444671921384,0.586248492159228,0.3679031037093111,19195,343,1327,486,0.2,4271,0.30952938421915244,0.7291781577495863,3.6452078778064667,13.811999437965436,"{""model__C"": 0.01, ""model__class_weight"": null}"
PCA logistic regression,0.40978841274105554,0.06465190314943411,6.04243477,0.44760889949644744,0.8663950550603665,0.06007580557137357,0.21198053204946057,0.5,0.9215961781649571,0.2840595697738555,0.9807554509161633,0.5780022446689114,0.3809171597633136,19162,376,1298,515,0.2,4271,0.30578318894872397,0.7203530060672918,3.6010903845803672,13.886937379982204,"{""model__C"": 0.1, ""model__class_weight"": null, ""preprocess__numeric_pca__pca__n_components"": 0.85}"
L1 feature selection,0.4036905524256242,0.06955790998985957,28.287590567000052,0.4420373507861805,0.8762620617906289,0.14935228517517862,0.48344364275728496,0.5,0.8001498758840335,0.7992277992277992,0.8002354386324086,0.2707399103139013,0.4044661549197488,15635,3903,364,1449,0.2,4271,0.309997658627956,0.7302813017098732,3.6507225644597288,13.802632195213338,"{""model__C"": 0.1, ""select__estimator__C"": 0.01}"
Decision tree,0.3881891744507468,0.03291076736419997,13.251864677999947,0.36638738992382675,0.8561075798547101,0.06255241871733694,0.23958674464862345,0.5,0.9153669617348134,0.09652509652509653,0.9913501893745521,0.5087209302325582,0.16226240148354196,19369,169,1638,175,0.2,4271,0.30952938421915244,0.7291781577495863,3.6452078778064667,13.811999437965436,"{""model__ccp_alpha"": 0.0, ""model__class_weight"": null, ""model__max_depth"": 8, ""model__min_samples_leaf"": 100}"
Dummy prevalence baseline,0.08492966761900302,0.0,0.46386592299995755,0.08491405554774951,0.5,0.07770365896192,0.29061012905607353,0.5,0.9150859444522504,0.0,1.0,0.0,0.0,19538,0,1813,0,0.2,4271,0.06555841723249825,0.15444015444015444,0.7720561314567403,18.692332911807412,
