attribute,group,n,events,prevalence,selection_rate,sensitivity,false_positive_rate,specificity,precision,average_precision,brier_score
Sex reweighted model,F,11225,1072,0.0955011135857461,0.20623608017817371,0.6902985074626866,0.1551265635772678,0.8448734364227322,0.31965442764578833,0.402558507629962,0.06890789426632563
Sex reweighted model,M,10129,742,0.07325501036627505,0.15746865435877183,0.6320754716981132,0.11995312666453606,0.8800468733354639,0.2940438871473354,0.38808935409639983,0.05480828060835938
