attribute,demographic_parity_difference,disparate_impact_ratio,equal_opportunity_difference,false_positive_rate_difference,equalized_odds_difference,predictive_parity_difference,brier_score_difference
Recorded sex,0.06281486419838866,0.7054733288943555,0.07626121414490883,0.04904269040765874,0.07626121414490883,0.01007275406363678,0.014234250163596085
Age group,0.10869596031911516,0.5406817106571004,0.10494504668400717,0.09441281319722214,0.10494504668400717,0.04115697489025938,0.020565486835348624
Diabetes status,0.0022319832635079584,0.9879134174603209,0.10977618636566733,0.010270187224298732,0.10977618636566733,0.039555414367457686,0.009219903683194745
