strategy,average_precision,roc_auc,brier_score,selection_rate,sensitivity,specificity,precision,f1,sex_demographic_parity_difference,sex_disparate_impact_ratio,sex_equal_opportunity_difference,sex_false_positive_rate_difference,sex_equalized_odds_difference,sex_predictive_parity_difference,sex_brier_score_difference
Original model,0.3947805460447429,0.852459701581806,0.06211521483278726,0.18347850519808936,0.6609702315325248,0.860849539406346,0.3060234813680449,0.41835310537334264,0.06281486419838866,0.7054733288943555,0.07626121414490883,0.04904269040765874,0.07626121414490883,0.01007275406363678,0.014234250163596085
Sex outcome reweighting,0.3936424322860827,0.8513926426892394,0.0622199207371723,0.18310386812775123,0.6664829106945975,0.8617707267144319,0.3092071611253197,0.4224318658280922,0.04876742581940188,0.763535915843289,0.05822303576457344,0.035173436912731754,0.05822303576457344,0.025610540498452905,0.014099613657966248
Sex specific thresholds,0.3947805460447429,0.852459701581806,0.06211521483278726,0.20956261122038025,0.6846747519294377,0.8345445240532241,0.2775418994413408,0.39497535379233584,0.08514333472371224,0.6652108550401858,0.1390478537232972,0.0930538409506176,0.1390478537232972,0.13351195791181367,0.014234250163596085
